genere,number,chord,note1,note2,note3,note4,note5,note6,note7,note8
rock,8,A;A#;Am;Bm;C;F;Fm;G,A,A#,Am,Bm,C,F,Fm,G
rock,8,A;A#;Am;C;Dm;F;G;Gm,A,A#,Am,C,Dm,F,G,Gm
soul,8,A;A#;Am;C;Dm;F;G;Gm,A,A#,Am,C,Dm,F,G,Gm
pop,8,A;A#;Bm;D;Em;F;F#;G,A,A#,Bm,D,Em,F,F#,G
rock,8,A;Am;B;Bm;C#m;D;E;G,A,Am,B,Bm,C#m,D,E,G
rock,8,A;Am;B;C;D;E;F#;G,A,Am,B,C,D,E,F#,G
rock,8,A;Am;B;C;Dm;Em;F;G,A,Am,B,C,Dm,Em,F,G
rock,8,A;Am;Bm;C;D;Em;F;G,A,Am,Bm,C,D,Em,F,G
pop,8,A;Am;Bm;C;D;Em;F;G,A,Am,Bm,C,D,Em,F,G
rock,8,A;Am;C;D;Dm;E;F;G,A,Am,C,D,Dm,E,F,G
pop,8,A;Am;C;D;Dm;E;F;G,A,Am,C,D,Dm,E,F,G
pop,8,A;Am;C;Dm;Em;F;G;Gm,A,Am,C,Dm,Em,F,G,Gm
pop,8,A;B;C#;C#m;D#;E;F#m;Fm,A,B,C#,C#m,D#,E,F#m,Fm
rock,8,A;Bm;C#m;D;Dm;E;F#m;G,A,Bm,C#m,D,Dm,E,F#m,G
soul,8,A;C;D;E;Em;F;Fm;G,A,C,D,E,Em,F,Fm,G
rock,8,A#;Am;C;C#;F;F#;G;G#,A#,Am,C,C#,F,F#,G,G#
soul,8,A#;Am;C;D;Dm;Em;F;G,A#,Am,C,D,Dm,Em,F,G
soul,8,A#;Am;C;Dm;Em;F;G;Gm,A#,Am,C,Dm,Em,F,G,Gm
rock,8,A#;C;D;D#;Em;F;G;Gm,A#,C,D,D#,Em,F,G,Gm
rock,8,Am;C;D;Dm;E;F;Fm;G,Am,C,D,Dm,E,F,Fm,G
rock,4,A;B;C#m;E,A,B,C#m,E,A,B,C#m,E
pop,4,A;B;C#m;E,A,B,C#m,E,A,B,C#m,E
soul,4,A;B;C#m;E,A,B,C#m,E,A,B,C#m,E
rock,4,A;B;D;E,A,B,D,E,A,B,D,E
country,4,A;B;E;F#,A,B,E,F#,A,B,E,F#
rock,4,A;Bm;D;E,A,Bm,D,E,A,Bm,D,E
pop,4,A;Bm;D;Em,A,Bm,D,Em,A,Bm,D,Em
rock,4,A;Bm;D;G,A,Bm,D,G,A,Bm,D,G
pop,4,A;Bm;D;G,A,Bm,D,G,A,Bm,D,G
soul,4,A;Bm;D;G,A,Bm,D,G,A,Bm,D,G
rock,4,A;C;D;E,A,C,D,E,A,C,D,E
rock,4,A;C;D;Em,A,C,D,Em,A,C,D,Em
rock,4,A;C;D;G,A,C,D,G,A,C,D,G
rock,4,A;C;E;G,A,C,E,G,A,C,E,G
country,4,A;C#m;D;E,A,C#m,D,E,A,C#m,D,E
pop,4,A;D;E;F#m,A,D,E,F#m,A,D,E,F#m
rock,4,A;D;E;G,A,D,E,G,A,D,E,G
country,4,A;D;E;G,A,D,E,G,A,D,E,G
soul,4,A;D;E;G,A,D,E,G,A,D,E,G
rock,4,A;D;Em;G,A,D,Em,G,A,D,Em,G
pop,4,A;D;Em;G,A,D,Em,G,A,D,Em,G
country,4,A;D;Em;G,A,D,Em,G,A,D,Em,G
soul,4,A;D;Em;G,A,D,Em,G,A,D,Em,G
rock,4,A;D;F;G,A,D,F,G,A,D,F,G
pop,4,A#;Am;C;Dm,A#,Am,C,Dm,A#,Am,C,Dm
soul,4,A#;Am;C;Dm,A#,Am,C,Dm,A#,Am,C,Dm
soul,4,A#;Am;Dm;F,A#,Am,Dm,F,A#,Am,Dm,F
rock,4,A#;C;D;G,A#,C,D,G,A#,C,D,G
rock,4,A#;C;Dm;F,A#,C,Dm,F,A#,C,Dm,F
pop,4,A#;C;Dm;F,A#,C,Dm,F,A#,C,Dm,F
country,4,A#;C;Dm;F,A#,C,Dm,F,A#,C,Dm,F
soul,4,A#;C;Dm;F,A#,C,Dm,F,A#,C,Dm,F
rock,4,A#;C;Dm;G,A#,C,Dm,G,A#,C,Dm,G
pop,4,A#;C;Dm;Gm,A#,C,Dm,Gm,A#,C,Dm,Gm
soul,4,A#;C;F;G,A#,C,F,G,A#,C,F,G
soul,4,A#;Dm;F;G,A#,Dm,F,G,A#,Dm,F,G
rock,4,Am;B;C;Em,Am,B,C,Em,Am,B,C,Em
pop,4,Am;Bm;C;D,Am,Bm,C,D,Am,Bm,C,D
pop,4,Am;Bm;C;Em,Am,Bm,C,Em,Am,Bm,C,Em
